revenu_mensuel,depenses_mensuelles,dettes_existantes,montant_credit,taux_mensuel,mensualite_credit,capacite_remboursement
6673388,296521,147733,15573729,1.8214290414086831,28366442.28362861,Non Capable
6800634,429760,97091,4222874,1.0105319982554375,4267349.301600932,Partiellement Capable
4554572,549764,28690,23899376,2.476511958975105,59187090.476042606,Non Capable
2484489,257195,32833,24296809,0.14989647465419012,3642006.0144461985,Non Capable
9774682,501013,102566,48925425,2.078349249026647,101684120.30705954,Non Capable
7454212,150013,71240,12855029,1.4602676142116477,18771782.528451543,Non Capable
9878519,501562,106898,5150258,3.5694090670755654,18383377.602978468,Non Capable
4722471,316486,77711,25873433,1.8575193067623148,48060401.3297212,Non Capable
4773669,526888,188213,4922900,2.0202546189189747,9945511.46347622,Non Capable
7654852,510869,39023,26166240,2.6030000949318617,68110725.20400988,Non Capable
5231505,650428,40209,3838236,1.773720071297354,6807956.231576071,Non Capable
2016891,363328,93590,19159480,0.8274297741673752,15853124.209564341,Non Capable
4771373,527709,86612,21914051,1.965691361436351,43076260.74477563,Non Capable
6269877,780206,80522,23996030,3.4471386900422223,82717643.42041387,Non Capable
3594769,211361,111654,3001822,1.5020759969332376,4508964.7732661255,Non Capable
9430351,777555,145512,47388530,2.4838930761988096,117708041.55823958,Non Capable
353355,497172,119107,19716884,3.5700444475438933,70390152.24706703,Non Capable
1512752,116555,139032,27014604,3.0309172192599054,81879028.43508752,Non Capable
5914789,624213,22462,11914972,2.408884244423298,28701788.32354475,Non Capable
9945979,714673,17821,32989149,2.6890272175230723,88708719.54392405,Non Capable
9555648,511906,188844,28710005,3.418799022782153,98153737.03807072,Non Capable
5993066,420646,158330,39507958,3.503497660017298,138416038.4050617,Non Capable
6363790,355658,92889,16981715,3.537043994372065,60065073.05488801,Non Capable
4971339,542065,88952,7694518,2.2873355266571798,17599944.38190315,Non Capable
3525709,781707,193596,2378850,1.4103504055094611,3355012.0621461817,Non Capable
334654,203844,153187,15697718,0.4946773894009318,7765306.159792016,Non Capable
5397581,191321,118066,44600435,1.4133947248790666,63038019.55631169,Non Capable
2204354,198234,177505,48031068,3.442357855237653,165340124.22525388,Non Capable
8492680,574718,79364,35231239,3.248861373356298,114461411.52258398,Non Capable
2678388,571761,70077,28856408,1.9161211699088783,55292374.25632791,Non Capable
9166786,389987,40644,8041734,1.9647065232018837,15799647.247654377,Non Capable
2913046,424464,62643,11883943,1.134470072525689,13481977.677101156,Non Capable
5749720,654081,13311,26917361,1.6644087198565525,44801490.363926694,Non Capable
6890913,773217,129466,28980360,2.610592517939398,75655910.98319021,Non Capable
3666664,119627,30531,28105594,1.4748478413579627,41451474.640983306,Non Capable
3635659,423966,14588,49441731,0.6942612943567632,34325480.159298904,Non Capable
3635357,577317,49416,16724078,1.978728866923283,33092415.911276605,Non Capable
1715689,322633,143452,19671705,0.830226357693754,16331967.991776008,Non Capable
318148,417942,173717,19097828,3.556406703885864,67919643.52885917,Non Capable
2075665,799476,148890,18902214,1.430837287003513,27045992.59811982,Non Capable
2995683,437462,161929,13104349,3.321180496657183,43521908.32018906,Non Capable
4306518,466330,21711,25998182,0.8310165476371925,21604919.4504834,Non Capable
2919995,450046,136169,7117064,0.6987207793130263,4972840.504500684,Non Capable
5247895,521773,116348,34729907,2.255520109704644,78334003.64667207,Non Capable
6647986,433478,159465,601065,2.846939845024087,1711195.897949403,Capable
2120928,568379,22076,44346781,2.0730230124226474,91931897.53986743,Non Capable
4405299,468863,84274,44273529,0.8464562883231441,37475607.02830708,Non Capable
6499859,223099,57609,45219619,0.14793548089774566,6689586.082777837,Non Capable
2555413,797974,160389,24957125,2.2605713091352584,56417360.73350228,Non Capable
4160197,374864,58480,44376567,0.48697550033059583,21610300.917779207,Non Capable
5808019,419752,7044,44383277,1.2591620487976858,55885737.99967521,Non Capable
5664709,207449,55486,21856648,2.469856503363282,53982784.20452207,Non Capable
521836,202828,55162,15678624,0.3668053237218721,5751002.751833512,Non Capable
3834702,226613,29882,41817456,0.4731953864135991,19787827.25075368,Non Capable
7531369,172095,54078,42138700,0.23446499459895107,9880050.06790682,Non Capable
2549435,730212,58734,36835063,3.6357280292208487,133922271.0072158,Non Capable
8835377,577910,108730,48425850,1.4189594377097559,68714316.88661698,Non Capable
2908505,720740,174898,16059622,3.3070944105540696,53110686.15181117,Non Capable
1521741,187593,87985,10583336,1.078651723864387,11415733.620636025,Non Capable
4019315,791252,44028,3331402,2.7516573371114044,9166876.756167607,Non Capable
1296797,439386,182403,3736386,0.8074024833770592,3016767.335255277,Non Capable
3297262,226202,98938,34050393,1.823901943119631,62104577.956687085,Non Capable
814685,177606,118319,41591531,3.0116012910366377,125257108.45579034,Non Capable
3129190,223769,32543,4046050,2.9814572119781007,12063124.952523993,Non Capable
5846411,218542,124279,4426030,2.901181811200135,12840717.731826132,Non Capable
9950344,468582,29362,43747817,3.0083932634603325,131610637.95389542,Non Capable
1257293,675610,158387,29563648,0.7797591039534005,23052523.67407374,Non Capable
5024183,257550,158818,19219213,1.7652672321198069,33927046.93603101,Non Capable
3616612,695330,141129,37933594,1.7749321675336576,67329556.22076175,Non Capable
8661855,670706,42915,31605989,3.2514290539464015,102764630.91331038,Non Capable
5517180,555433,152133,14039905,1.090686259013921,15313131.461360846,Non Capable
8057313,724987,51370,6704892,3.4006450519361358,22800957.80356618,Non Capable
2954238,190140,165229,24655446,1.6508964801542005,40703589.01803196,Non Capable
2880708,566978,111375,3729031,2.4480246915658044,9128759.963614322,Non Capable
3744679,636069,142394,28051264,0.9887345286967771,27735253.29038887,Non Capable
5767209,498731,69812,48624284,1.5034851088659587,73105886.92326929,Non Capable
2017640,479502,34017,8188323,2.593675392731671,21237851.872838773,Non Capable
6973771,398277,56792,33627427,1.876399596337674,63098490.448674604,Non Capable
1535160,197628,158814,45625212,3.397777162545535,155024303.3698985,Non Capable
6330526,701234,195880,28401860,2.693134875866818,76490039.70548674,Non Capable
5423036,185058,129198,49605277,2.0644266488585834,102406455.76281177,Non Capable
1675472,581799,17629,23071515,3.2374779142140375,74693520.25995788,Non Capable
298984,251542,128614,8221275,2.4326252551910295,19999281.194870632,Non Capable
6806168,405273,139317,10502707,2.3662465232503735,24851993.92346736,Non Capable
1754384,370675,96950,48804104,0.9067916526573633,44255154.122621834,Non Capable
2480919,399182,174942,46126774,1.4472793545226879,66758327.7009339,Non Capable
