statut_familial,nbr_dependant,date_naissance,score_familial
Célibataire,0,1979-08-22,63
Marié(e),1,1964-02-28,85
Célibataire,4,1992-10-25,70
Célibataire,0,1974-07-31,63
Célibataire,4,1972-10-20,70
Veuf/Veuve,1,1995-04-07,79
Divorcé(e),0,1969-04-15,65
Veuf/Veuve,2,1979-11-23,72
Marié(e),2,1964-02-19,80
Veuf/Veuve,0,1987-03-04,75
Divorcé(e),0,1996-03-07,63
Célibataire,3,1962-01-13,68
Divorcé(e),5,1987-05-30,64
Marié(e),5,1961-03-16,78
Marié(e),2,1962-02-14,81
Célibataire,3,1979-11-26,67
Divorcé(e),1,1988-03-05,60
Marié(e),5,1978-12-01,83
Célibataire,4,1970-04-26,68
Marié(e),1,1996-06-08,71
Divorcé(e),5,1974-09-01,65
Divorcé(e),0,1975-07-07,60
Divorcé(e),3,1978-12-26,60
Marié(e),4,1983-03-13,80
Veuf/Veuve,3,1996-02-17,72
Divorcé(e),1,1977-02-02,65
Divorcé(e),5,1993-05-26,64
Veuf/Veuve,2,1974-08-22,72
Veuf/Veuve,0,1959-03-11,71
Marié(e),5,1969-04-26,83
Veuf/Veuve,4,1960-08-30,76
Veuf/Veuve,4,1996-12-15,78
Divorcé(e),4,1955-12-30,65
Célibataire,5,2003-02-20,74
Divorcé(e),0,1981-04-18,63
Marié(e),3,1955-04-04,85
Divorcé(e),4,1970-12-29,64
Célibataire,5,1981-09-27,70
Marié(e),1,1988-07-05,67
Célibataire,4,1984-01-17,67
Célibataire,0,1987-07-13,64
Marié(e),0,1976-07-28,84
Célibataire,0,1998-07-25,71
Marié(e),1,1997-08-09,73
Marié(e),2,2002-04-21,74
Veuf/Veuve,1,2003-05-07,73
Divorcé(e),3,1988-06-19,62
Veuf/Veuve,0,1977-03-16,73
Célibataire,2,1956-11-07,69
Marié(e),4,1974-09-21,79
Célibataire,5,1960-03-31,63
Célibataire,0,1984-08-10,61
Marié(e),2,1998-07-07,68
Marié(e),5,1997-05-15,66
Veuf/Veuve,3,1972-01-18,71
Célibataire,5,1993-08-20,75
Veuf/Veuve,3,1996-11-11,70
Célibataire,0,1991-02-01,75
Célibataire,1,1972-02-26,63
Veuf/Veuve,1,1992-10-24,72
Divorcé(e),3,1977-05-17,60
Veuf/Veuve,4,1963-10-01,70
Célibataire,0,1976-03-03,62
Veuf/Veuve,3,1998-02-24,73
Veuf/Veuve,0,1969-09-25,76
Célibataire,3,1978-10-04,67
Divorcé(e),3,1998-08-17,57
Marié(e),2,1974-06-30,80
Célibataire,5,1983-02-06,60
Célibataire,4,1997-09-27,78
Marié(e),0,2000-07-10,66
Marié(e),0,1961-01-22,85
Marié(e),3,1965-09-20,84
Marié(e),4,1958-07-13,83
Célibataire,3,2001-11-12,75
Divorcé(e),1,1983-02-25,61
Divorcé(e),3,1966-09-15,65
Divorcé(e),3,1983-05-01,60
Célibataire,3,1963-12-08,61
Marié(e),4,1978-10-04,80
Divorcé(e),0,1976-11-17,62
Divorcé(e),1,1994-04-11,63
Divorcé(e),4,2002-06-02,55
Divorcé(e),5,1964-04-04,61
Divorcé(e),0,1964-07-26,65
Marié(e),2,1980-03-29,84
Marié(e),5,1985-09-22,66
Divorcé(e),4,1998-10-17,59
Célibataire,0,1992-12-18,74
Célibataire,0,1984-11-20,62
Divorcé(e),1,1994-08-09,63
Veuf/Veuve,4,1955-10-31,71
Célibataire,5,1968-05-03,68
Célibataire,2,1968-04-01,66
Marié(e),0,1982-08-15,82
Célibataire,2,1973-10-23,70
Marié(e),5,1964-03-09,80
Veuf/Veuve,4,1968-10-30,73
Marié(e),1,1991-12-15,65
Marié(e),5,1984-10-07,69
Marié(e),2,1969-03-31,85
Célibataire,3,1958-06-09,67
Marié(e),1,1996-04-05,70
Divorcé(e),1,1974-12-18,60
Marié(e),3,1984-05-31,69
Célibataire,2,1986-06-20,70
Veuf/Veuve,5,2003-01-26,75
Célibataire,0,1978-05-26,62
Divorcé(e),0,1964-09-09,64
Veuf/Veuve,2,1983-02-08,76
Célibataire,3,1972-01-07,64
Célibataire,5,1994-01-31,70
Marié(e),2,1993-08-28,66
Divorcé(e),4,1983-02-16,65
Célibataire,5,1981-11-27,68
Divorcé(e),5,1991-08-09,60
Veuf/Veuve,5,1981-06-28,78
Marié(e),1,1992-09-07,75
Veuf/Veuve,5,1970-07-30,79
Divorcé(e),3,1955-01-01,62
Divorcé(e),1,1993-07-13,64
Divorcé(e),3,1994-08-07,62
Marié(e),4,1997-06-01,66
Célibataire,2,2001-03-17,80
Divorcé(e),0,1976-01-14,65
Divorcé(e),1,1972-10-30,61
Célibataire,0,1976-12-06,67
Célibataire,3,1992-02-23,80
Marié(e),5,1989-05-31,70
Veuf/Veuve,1,1968-03-15,80
Célibataire,0,1993-02-08,73
Marié(e),5,2001-06-07,70
Célibataire,4,1977-04-27,61
Veuf/Veuve,1,1996-08-25,80
Divorcé(e),3,2000-04-01,61
Veuf/Veuve,1,1997-07-20,77
Divorcé(e),1,1979-11-04,64
Veuf/Veuve,5,1976-06-05,74
Veuf/Veuve,0,1980-08-06,73
Divorcé(e),2,1983-08-25,64
Célibataire,1,1968-06-30,63
Veuf/Veuve,5,1968-09-03,73
Célibataire,3,1991-07-14,75
Veuf/Veuve,3,1960-07-20,73
Veuf/Veuve,3,1956-09-19,79
Veuf/Veuve,3,1955-06-30,75
Divorcé(e),3,1992-07-22,63
Marié(e),3,1974-08-26,82
Veuf/Veuve,3,1957-07-27,76
Divorcé(e),5,1991-03-28,57
Veuf/Veuve,1,2002-11-19,70
Veuf/Veuve,4,1957-05-25,71
Veuf/Veuve,1,1996-05-20,72
Célibataire,2,1988-12-22,65
Marié(e),3,1984-04-15,70
Veuf/Veuve,2,1992-10-13,74
Célibataire,3,1956-09-14,68
Célibataire,2,1975-01-30,70
Célibataire,5,1958-07-30,60
Marié(e),1,1956-10-16,84
Marié(e),1,1966-04-16,83
Célibataire,4,1974-07-09,67
Divorcé(e),2,1970-01-07,64
Célibataire,1,1982-11-14,61
Célibataire,2,1988-08-20,66
Marié(e),0,1976-10-01,80
Divorcé(e),5,1965-10-28,64
Célibataire,2,2002-10-04,76
Divorcé(e),0,2000-05-10,65
Divorcé(e),0,1992-08-25,62
Célibataire,3,1987-06-17,70
Veuf/Veuve,5,1968-09-09,76
Marié(e),5,2001-10-09,73
Divorcé(e),4,2003-03-31,62
Veuf/Veuve,3,1979-01-16,75
Marié(e),0,1979-12-27,83
Marié(e),3,1988-12-18,70
Célibataire,3,1984-02-15,62
Veuf/Veuve,1,1986-10-18,74
Divorcé(e),2,1979-10-01,64
Célibataire,4,1972-02-08,61
Marié(e),5,1991-06-05,70
Marié(e),5,1997-09-04,73
Veuf/Veuve,3,1956-07-06,71
Divorcé(e),1,1991-03-31,58
Divorcé(e),5,1988-01-27,62
Divorcé(e),3,1984-08-22,60
Veuf/Veuve,2,1982-06-22,74
Marié(e),0,1972-03-29,82
Célibataire,5,2003-01-15,72
Marié(e),1,1998-05-28,69
Divorcé(e),0,1972-05-18,62
Marié(e),2,1971-01-23,82
Célibataire,5,2002-11-19,72
Divorcé(e),0,1959-11-09,64
Divorcé(e),5,1966-04-17,65
Veuf/Veuve,0,1956-01-24,79
Divorcé(e),3,1997-11-29,62
Divorcé(e),1,1959-07-29,62
Veuf/Veuve,0,1960-10-29,76
Veuf/Veuve,0,1959-10-10,72
Marié(e),4,1982-03-23,79
Marié(e),0,1992-04-20,74
Marié(e),4,1989-02-02,71
Veuf/Veuve,2,1993-06-08,74
Célibataire,4,1963-11-13,63
Marié(e),2,1962-04-01,81
Marié(e),1,1961-09-12,81
Célibataire,3,1995-05-20,79
Veuf/Veuve,2,1957-11-22,73
Divorcé(e),5,1980-04-30,65
Veuf/Veuve,0,1975-11-27,74
Marié(e),3,1965-04-05,84
Marié(e),5,1968-05-01,80
Marié(e),0,1960-04-25,81
Divorcé(e),4,1980-11-09,63
Célibataire,3,1982-03-31,66
Divorcé(e),4,2003-05-30,62
Veuf/Veuve,0,1958-07-17,76
Divorcé(e),4,1977-06-05,60
Célibataire,1,1956-10-28,70
Divorcé(e),4,1958-07-29,61
Veuf/Veuve,4,1994-08-21,74
Marié(e),4,1994-01-26,74
Veuf/Veuve,0,1997-02-17,75
Veuf/Veuve,2,1983-10-08,80
Célibataire,1,1984-07-21,66
Veuf/Veuve,2,1990-11-22,78
Célibataire,3,1962-11-12,65
Divorcé(e),2,1965-05-13,63
Célibataire,5,2003-08-23,77
Veuf/Veuve,0,1971-10-17,78
Divorcé(e),4,1999-09-08,65
Veuf/Veuve,0,1973-03-24,74
Marié(e),2,1994-04-09,72
Célibataire,0,1976-06-07,62
Divorcé(e),4,1956-03-11,64
Veuf/Veuve,0,1975-02-14,71
Veuf/Veuve,0,1968-10-11,77
Divorcé(e),4,1979-06-30,63
Veuf/Veuve,3,1976-10-30,77
Marié(e),3,1972-01-24,84
Marié(e),0,1979-10-01,83
Divorcé(e),4,1978-12-07,60
Divorcé(e),5,1981-10-01,64
Veuf/Veuve,1,1995-01-10,78
Veuf/Veuve,2,1984-10-15,78
Veuf/Veuve,3,1983-11-01,73
Marié(e),4,1989-04-28,67
Veuf/Veuve,0,1983-07-06,77
Veuf/Veuve,3,1968-08-11,77
Célibataire,1,2000-01-11,79
Divorcé(e),0,1994-06-19,56
Veuf/Veuve,0,1967-11-24,76
Marié(e),0,1997-01-31,69
Divorcé(e),4,1990-08-16,65
Célibataire,2,2002-11-02,76
Divorcé(e),5,1998-09-28,63
Célibataire,4,1961-02-07,63
Divorcé(e),1,1963-01-27,63
Célibataire,5,1963-12-25,67
Marié(e),5,1981-10-30,78
Célibataire,2,1959-12-31,64
Divorcé(e),2,1993-08-08,57
Marié(e),4,1991-12-07,73
Marié(e),1,1970-09-02,80
Veuf/Veuve,4,1976-07-27,77
Marié(e),1,1996-05-02,75
Divorcé(e),3,1977-11-14,65
Célibataire,3,1980-10-08,70
Marié(e),0,1994-08-05,70
Divorcé(e),5,1993-01-11,59
Veuf/Veuve,2,1972-11-01,76
Veuf/Veuve,0,1976-03-30,76
Divorcé(e),4,1981-07-05,65
Divorcé(e),0,1990-06-22,59
Célibataire,4,1959-05-14,69
Veuf/Veuve,2,1975-08-11,79
Divorcé(e),1,1972-01-09,64
Divorcé(e),5,1967-03-27,65
Célibataire,5,1958-07-02,64
Veuf/Veuve,0,1987-09-12,72
Célibataire,2,1984-04-10,66
Marié(e),1,1966-10-27,84
Divorcé(e),4,1999-12-25,59
Marié(e),2,1998-03-12,69
Divorcé(e),0,1996-12-24,56
Marié(e),1,1990-08-14,73
Divorcé(e),0,1990-05-13,55
Divorcé(e),4,1966-01-19,63
Divorcé(e),5,1978-06-26,64
Veuf/Veuve,5,1988-04-16,71
Marié(e),3,1957-03-18,84
Divorcé(e),4,1974-10-28,65
Célibataire,5,1996-08-13,74
Veuf/Veuve,0,1967-07-04,70
Célibataire,2,1999-02-28,71
Célibataire,1,2003-03-11,72
Veuf/Veuve,3,1988-04-01,80
Veuf/Veuve,4,1968-10-29,76
Célibataire,3,1991-07-31,74
Célibataire,5,1988-03-16,63
Veuf/Veuve,3,1976-02-23,75
Célibataire,5,1987-12-02,68
Divorcé(e),0,1990-09-07,59
Marié(e),0,1995-10-05,66
Marié(e),5,1956-11-17,78
Divorcé(e),1,1966-04-06,64
Marié(e),0,1973-07-20,84
Marié(e),1,1984-06-10,67
Célibataire,2,1967-12-12,62
Divorcé(e),1,1964-10-29,65
Célibataire,1,1956-04-18,65
Marié(e),4,1984-01-05,64
Marié(e),2,1959-09-01,81
Veuf/Veuve,4,1965-02-28,71
