revenu_mensuel,depense_mensuelles,dettes_existantes,nbr_dependant,duree_emploie,situation_bancaire,note_financiere
5019.51,3413.92,16886.25,4,3,bon,63
1254.68,883.3,7080.45,0,7,moyen,36
3488.66,1555.6,17764.42,5,3,bon,44
3205.74,536.06,13777.8,3,15,moyen,45
5153.93,3408.26,29685.26,5,6,excellent,52
2085.63,991.54,3599.36,0,15,bon,58
1187.07,853.94,2811.85,1,11,bon,41
1149.86,525.19,18530.03,4,10,excellent,42
3222.58,1634.31,4835.54,0,7,bon,55
1446.29,684.08,29042.81,1,11,faible,41
4335.98,980.98,10139.04,2,16,bon,40
3953.94,622.76,14551.15,5,5,bon,46
4867.2,848.93,25125.66,5,1,bon,65
5807.15,1681.16,26955.13,0,20,moyen,50
4353.29,2681.41,27454.84,4,13,bon,45
4254.05,554.79,11047.21,2,10,mauvais,43
4329.09,2693.13,9929.29,0,20,faible,54
3060.19,1399.58,14413.64,1,17,mauvais,46
2333.13,1326.59,16878.26,4,19,faible,45
4321.6,2829.08,9699.9,3,8,moyen,41
5716.91,3651.51,11964.34,2,18,moyen,36
2552.86,1022.0,3790.15,4,1,moyen,54
1645.69,1246.41,7458.12,4,17,moyen,41
1857.51,1399.81,3997.08,3,11,mauvais,55
1189.01,600.47,25399.99,1,10,moyen,52
1165.41,574.72,2487.41,5,17,bon,40
5032.96,927.73,22951.82,5,3,excellent,35
1876.44,1122.17,10119.65,5,15,excellent,47
5811.94,4168.95,16631.87,0,9,mauvais,41
3339.16,2514.13,788.69,1,1,mauvais,48
5013.54,1039.56,11172.72,3,19,excellent,49
2672.99,525.7,4215.41,3,20,excellent,47
2682.0,1941.27,20368.89,0,8,mauvais,45
1313.79,789.25,9674.26,1,6,mauvais,56
4941.92,3832.76,24210.5,2,20,faible,43
4076.29,1565.37,14210.52,4,2,moyen,55
4271.27,1789.45,17195.14,1,12,bon,56
3092.8,2065.89,15520.67,4,19,bon,46
2393.16,1427.47,348.19,0,16,bon,55
2318.02,1489.43,9071.54,0,2,mauvais,48
5667.38,2734.67,15364.66,2,15,faible,63
1743.18,801.43,12183.29,3,9,faible,41
1165.79,716.23,11796.42,1,19,excellent,39
4477.11,2852.29,1401.97,0,4,faible,64
1345.09,868.4,3489.8,1,0,mauvais,44
1654.1,911.85,29749.66,1,10,moyen,39
5189.12,2317.36,28256.93,1,5,bon,65
1037.47,628.28,16167.06,0,4,moyen,59
2074.68,1411.34,16660.42,0,15,moyen,57
5240.04,614.31,17839.91,3,9,bon,49
5467.84,4337.91,18850.4,4,19,excellent,61
2547.13,1487.74,23391.11,5,9,mauvais,45
1645.44,878.62,15154.45,1,18,excellent,36
4035.58,1223.81,11083.67,4,4,faible,57
4922.91,2400.55,11317.54,4,16,bon,36
2807.6,1819.52,20859.35,0,12,moyen,55
4578.08,2289.05,23223.68,1,11,bon,50
4988.94,2839.36,27280.59,1,4,mauvais,39
4097.7,2656.99,22354.46,4,1,bon,49
5295.01,2126.55,1513.04,4,3,faible,59
1271.18,996.45,3696.67,4,15,mauvais,55
3550.07,751.52,20345.66,2,13,excellent,53
3902.36,1509.87,24703.95,1,15,mauvais,62
3249.63,1804.43,26890.35,0,16,moyen,41
1731.04,518.69,4772.52,1,15,bon,62
4932.69,3243.69,170.1,2,16,mauvais,81
3813.12,3024.0,23337.75,0,0,mauvais,52
3584.57,2119.49,1220.24,0,11,excellent,52
2839.39,1397.09,14375.06,5,1,excellent,62
3969.27,3100.26,5508.05,1,17,moyen,64
1503.87,703.02,16629.43,5,4,faible,44
1127.01,578.14,19011.92,0,19,faible,42
2501.52,1115.47,20618.21,3,7,moyen,65
3329.88,937.05,26816.07,2,16,bon,57
3861.9,2672.92,6711.22,4,12,bon,39
5408.38,2429.63,22596.22,3,10,bon,47
2106.94,1308.23,5281.15,1,10,moyen,40
2263.75,1200.55,11520.85,3,2,bon,36
1477.25,781.45,6185.0,3,0,mauvais,55
3330.47,674.24,27019.35,2,1,moyen,62
4817.01,2135.06,21680.52,5,9,moyen,42
3591.97,1805.41,11128.22,5,2,excellent,50
3963.89,1602.14,24381.66,3,8,excellent,45
5866.36,4558.75,14504.7,1,15,moyen,54
1709.21,608.11,20358.75,4,5,moyen,46
5398.93,2869.14,1921.5,5,5,excellent,44
2824.59,828.32,27629.8,3,18,moyen,39
1455.49,721.06,18371.31,4,8,faible,44
4260.09,2925.99,19829.96,1,18,faible,47
4061.86,820.99,13065.17,4,13,moyen,45
1187.86,746.15,28755.52,5,20,mauvais,61
5153.93,1954.7,17386.7,1,8,faible,51
3743.31,1227.49,27635.11,0,4,moyen,45
2533.16,1236.92,28891.08,4,7,mauvais,47
3321.87,2370.41,10055.71,1,13,bon,48
4571.46,1039.44,29328.23,1,19,faible,49
3245.59,1213.26,7321.91,1,10,faible,54
5352.11,1453.93,481.2,0,17,bon,92
1440.93,662.35,29001.89,2,12,bon,50
3676.91,1528.92,12016.67,5,19,faible,38
4259.62,2749.06,6509.59,2,19,mauvais,48
3353.33,912.65,12994.57,1,19,bon,41
4484.16,2527.91,754.5,2,18,bon,65
2705.62,1717.61,21395.8,5,4,faible,58
5196.04,3188.1,26624.14,4,6,bon,52
4650.27,2200.4,18607.82,3,2,mauvais,36
4593.05,3540.5,3275.39,2,9,bon,53
4781.33,3264.84,12791.68,3,16,bon,65
2484.69,1071.75,20195.64,2,16,excellent,36
3948.9,2254.56,7803.4,4,13,faible,63
5013.22,3201.55,5912.59,0,18,mauvais,49
2727.26,2010.36,24056.0,5,14,moyen,55
1295.52,852.03,12477.21,4,10,mauvais,40
1732.92,1118.69,7143.23,4,16,mauvais,55
3057.33,792.55,20052.57,1,12,bon,36
1759.86,797.01,26653.02,1,2,moyen,44
1968.64,1424.48,9914.75,2,1,moyen,37
4064.44,1194.74,9114.1,0,2,excellent,52
5699.39,3624.86,22197.0,4,12,faible,64
4386.0,950.43,20312.56,4,16,moyen,48
5287.47,3465.97,28240.08,1,3,moyen,52
3459.91,2141.04,18207.7,1,5,bon,41
5332.95,4205.71,19846.89,5,16,bon,37
4888.2,1697.4,25752.65,4,0,moyen,40
1429.9,891.15,22218.72,5,18,excellent,41
4306.0,2518.35,3538.9,5,13,moyen,43
2207.31,658.17,22190.1,4,11,excellent,62
1569.14,826.33,10092.47,2,14,mauvais,65
3453.34,1513.7,10443.4,5,1,moyen,37
4047.11,2883.95,16189.55,4,16,bon,42
1364.04,962.62,10382.79,1,10,faible,50
2693.24,1942.93,5836.93,3,7,excellent,40
4733.72,1433.57,21074.82,3,8,mauvais,62
5594.51,2979.69,5976.6,2,2,mauvais,44
4268.77,3037.08,9472.96,2,9,excellent,49
2650.85,570.97,21919.29,4,6,mauvais,55
5018.59,931.1,11564.28,2,16,bon,47
2829.96,1024.07,21857.79,2,0,excellent,43
1626.74,1196.59,29542.13,5,3,faible,40
1233.43,821.24,16134.11,3,12,moyen,53
1471.48,843.81,13644.21,3,19,faible,50
5777.71,582.26,7622.55,5,6,bon,65
4480.21,1164.07,9793.92,1,13,moyen,63
3175.64,2482.83,9377.82,5,14,bon,59
3913.69,1021.03,25631.38,1,18,bon,39
1714.32,513.91,21791.77,0,5,mauvais,63
2562.99,663.93,25688.3,4,15,faible,54
5544.82,3038.51,29469.36,3,1,mauvais,64
3807.26,2329.75,24140.7,2,18,bon,47
2244.93,1571.18,21484.7,2,18,mauvais,43
1926.43,1061.66,15739.7,0,12,moyen,39
5616.78,1264.62,22667.34,3,1,bon,63
3824.76,2110.14,29979.3,4,11,bon,49
1519.6,1067.52,13238.35,2,2,moyen,45
5671.19,3534.02,3832.65,5,11,mauvais,55
3349.04,2036.8,5953.66,3,4,faible,43
3216.6,2345.99,25338.27,5,8,moyen,44
3167.58,2136.3,24550.51,2,0,mauvais,45
4504.41,1083.71,27126.02,4,11,faible,45
5347.0,1812.01,23021.07,0,0,mauvais,39
3627.53,2031.51,1750.14,4,13,bon,47
1403.55,634.47,7482.52,0,2,mauvais,35
5235.81,2111.74,493.63,4,6,faible,83
1518.62,667.04,9477.37,5,14,moyen,62
3814.77,1094.2,24805.52,2,19,mauvais,47
5370.34,2016.11,19808.41,3,8,excellent,60
5591.47,3913.58,27787.6,4,17,bon,62
4204.94,1416.03,22215.13,5,12,faible,49
3068.78,2260.88,17692.15,2,19,moyen,47
3086.96,821.03,9999.64,3,19,mauvais,55
5056.89,1359.86,10561.82,3,6,moyen,59
1946.87,1538.48,5656.06,2,5,faible,55
3732.7,577.49,27800.68,5,3,mauvais,62
4736.16,3455.2,1517.35,5,8,excellent,50
3917.34,1658.69,24483.37,1,20,faible,56
1012.45,724.11,28758.04,2,4,faible,65
4910.56,1737.59,16270.36,1,10,bon,54
2622.17,673.73,7609.69,2,10,excellent,50
4604.4,1713.84,27580.28,4,0,excellent,64
5304.28,1426.54,6774.93,5,0,excellent,46
