situation_professionnelle,duree_emploie,revenu_mensuel,secteur_activite,type_contrat,score_professionnelle
sans_emploi,,0,,,79
employe,26.0,3480605,sante,cdi,90
independant,31.0,2491888,commerce,freelance,89
independant,21.0,1799332,services,stage,90
etudiant,1.0,477587,education,stage,83
independant,32.0,1205176,sante,freelance,90
retraite,38.0,666689,education,freelance,85
retraite,21.0,884706,sante,freelance,90
sans_emploi,,0,,,56
etudiant,3.0,316891,education,stage,56
independant,15.0,1274840,services,cdi,90
etudiant,5.0,359470,education,stage,61
employe,10.0,1288980,industrie,cdd,90
etudiant,3.0,263274,education,stage,80
retraite,24.0,478588,education,freelance,90
sans_emploi,,0,,,56
independant,22.0,2414810,commerce,stage,85
etudiant,1.0,438576,education,stage,61
independant,20.0,2060657,services,cdi,90
sans_emploi,,0,,,69
etudiant,0.0,238866,education,stage,76
sans_emploi,,0,,,77
independant,35.0,1192506,autres,cdd,90
retraite,36.0,485471,sante,freelance,90
etudiant,1.0,389304,education,stage,82
employe,8.0,3082150,sante,freelance,90
employe,7.0,1355824,agriculture,stage,90
sans_emploi,,0,,,84
retraite,28.0,559246,education,freelance,76
independant,31.0,3601136,education,cdd,90
sans_emploi,,0,,,88
independant,3.0,2416299,autres,freelance,90
retraite,32.0,958678,sante,freelance,90
retraite,22.0,934414,sante,freelance,90
etudiant,5.0,446230,education,stage,86
sans_emploi,,0,,,79
independant,7.0,2570538,services,cdi,90
retraite,36.0,743902,sante,freelance,76
retraite,21.0,744411,education,freelance,89
independant,13.0,3703300,autres,cdd,90
independant,26.0,2551849,services,freelance,90
etudiant,0.0,213065,education,stage,90
sans_emploi,,0,,,70
sans_emploi,,0,,,81
independant,25.0,2485170,agriculture,stage,90
independant,12.0,2754024,sante,temporaire,90
sans_emploi,,0,,,76
employe,39.0,1902997,services,cdd,90
independant,26.0,3310583,commerce,stage,75
employe,12.0,1695269,education,freelance,90
etudiant,0.0,296519,education,stage,70
sans_emploi,,0,,,64
employe,32.0,2632427,services,cdi,90
sans_emploi,,0,,,68
employe,28.0,3866707,autres,temporaire,90
etudiant,5.0,296402,education,stage,75
sans_emploi,,0,,,86
independant,39.0,3203146,services,cdd,90
etudiant,3.0,365684,education,stage,76
independant,0.0,3462571,commerce,cdd,74
retraite,32.0,978899,education,freelance,82
retraite,24.0,489234,education,freelance,82
sans_emploi,,0,,,89
independant,37.0,1056104,education,cdd,90
etudiant,4.0,393770,education,stage,83
retraite,39.0,861943,sante,freelance,90
sans_emploi,,0,,,64
etudiant,4.0,424332,education,stage,87
independant,1.0,3058560,services,cdd,84
retraite,28.0,866552,sante,freelance,81
sans_emploi,,0,,,84
independant,36.0,2187399,sante,temporaire,87
retraite,35.0,748781,sante,freelance,79
employe,24.0,1075307,autres,cdi,90
independant,25.0,3933320,autres,freelance,90
employe,8.0,2747306,education,temporaire,90
independant,16.0,2283716,commerce,cdi,90
etudiant,0.0,489822,education,stage,72
sans_emploi,,0,,,69
independant,28.0,1548829,education,cdi,90
independant,24.0,3028289,sante,cdd,90
employe,34.0,3547867,informatique,cdd,90
retraite,23.0,472478,education,freelance,90
etudiant,1.0,451629,education,stage,85
retraite,23.0,746560,sante,freelance,90
sans_emploi,,0,,,65
retraite,24.0,605024,education,freelance,78
employe,6.0,3486505,industrie,cdd,90
employe,21.0,3571814,agriculture,freelance,90
etudiant,1.0,477708,education,stage,79
retraite,23.0,476093,education,freelance,85
etudiant,2.0,396550,education,stage,70
employe,19.0,3797944,autres,temporaire,90
independant,2.0,3056282,commerce,cdd,71
etudiant,4.0,496356,education,stage,77
etudiant,3.0,231442,education,stage,75
retraite,39.0,963266,education,freelance,90
sans_emploi,,0,,,55
etudiant,5.0,238315,education,stage,60
independant,12.0,3961823,industrie,temporaire,83
employe,0.0,2222667,autres,stage,90
retraite,24.0,443655,sante,freelance,74
employe,40.0,2443149,education,cdi,90
independant,2.0,2655588,agriculture,freelance,85
employe,7.0,3977872,autres,freelance,88
sans_emploi,,0,,,53
employe,37.0,3302953,agriculture,temporaire,90
independant,8.0,1558556,autres,freelance,85
retraite,35.0,550397,sante,freelance,90
sans_emploi,,0,,,72
independant,34.0,3155651,commerce,cdi,85
employe,23.0,3107985,agriculture,cdd,90
independant,29.0,2602891,sante,stage,90
independant,2.0,3384101,industrie,temporaire,90
retraite,37.0,614621,education,freelance,90
employe,35.0,2447138,services,freelance,90
sans_emploi,,0,,,83
retraite,21.0,486226,sante,freelance,76
sans_emploi,,0,,,81
etudiant,1.0,216360,education,stage,79
sans_emploi,,0,,,83
employe,30.0,3798126,sante,temporaire,90
employe,31.0,3301366,agriculture,cdd,90
retraite,31.0,727185,education,freelance,68
sans_emploi,,0,,,67
sans_emploi,,0,,,60
sans_emploi,,0,,,74
retraite,27.0,466110,sante,freelance,79
employe,4.0,1800727,sante,temporaire,90
employe,23.0,2363131,informatique,freelance,90
retraite,29.0,630916,education,freelance,71
employe,21.0,1773801,industrie,cdi,90
retraite,34.0,427779,education,freelance,90
independant,7.0,3509035,services,cdi,90
retraite,32.0,608471,education,freelance,80
etudiant,4.0,347048,education,stage,81
sans_emploi,,0,,,88
retraite,40.0,703996,sante,freelance,90
independant,32.0,2329261,commerce,freelance,90
retraite,28.0,505925,education,freelance,83
retraite,24.0,736714,sante,freelance,90
employe,4.0,3122091,education,cdd,90
sans_emploi,,0,,,73
retraite,23.0,997938,sante,freelance,90
independant,4.0,3425642,commerce,temporaire,72
etudiant,1.0,450424,education,stage,90
etudiant,0.0,295391,education,stage,79
retraite,30.0,846128,education,freelance,90
independant,3.0,2957599,education,cdd,80
sans_emploi,,0,,,78
sans_emploi,,0,,,65
sans_emploi,,0,,,61
employe,0.0,2521606,agriculture,cdi,90
independant,30.0,3414443,services,stage,90
independant,32.0,1385740,commerce,cdd,90
etudiant,0.0,440570,education,stage,90
sans_emploi,,0,,,90
employe,40.0,1397371,agriculture,stage,90
sans_emploi,,0,,,78
sans_emploi,,0,,,62
retraite,36.0,820366,education,freelance,90
employe,35.0,1016347,autres,stage,90
independant,2.0,1629963,autres,stage,66
sans_emploi,,0,,,67
independant,27.0,1428705,sante,freelance,90
retraite,20.0,871406,sante,freelance,80
etudiant,0.0,290964,education,stage,75
employe,4.0,2043518,education,cdd,90
sans_emploi,,0,,,85
independant,3.0,1923847,education,cdi,90
independant,6.0,3266087,industrie,stage,90
employe,10.0,1031275,agriculture,temporaire,90
independant,20.0,3625427,sante,freelance,90
independant,2.0,2820885,sante,cdi,90
independant,36.0,3674512,informatique,cdd,90
etudiant,1.0,226481,education,stage,78
employe,3.0,1942884,education,stage,90
independant,5.0,1991077,industrie,cdi,90
independant,20.0,2341535,agriculture,cdd,90
employe,5.0,2417804,commerce,freelance,90
employe,15.0,1101033,services,temporaire,90
employe,14.0,1254701,agriculture,stage,90
sans_emploi,,0,,,66
etudiant,1.0,372565,education,stage,73
sans_emploi,,0,,,83
sans_emploi,,0,,,70
independant,20.0,2152170,commerce,cdd,90
etudiant,4.0,455739,education,stage,63
independant,12.0,2813633,autres,cdd,78
employe,29.0,3374994,agriculture,freelance,90
independant,1.0,2765013,commerce,freelance,69
etudiant,4.0,468753,education,stage,70
employe,17.0,1393619,education,freelance,90
etudiant,4.0,318455,education,stage,80
sans_emploi,,0,,,64
employe,26.0,1329882,autres,cdd,90
independant,38.0,1665994,services,stage,83
sans_emploi,,0,,,62
etudiant,2.0,408009,education,stage,72
retraite,39.0,768455,sante,freelance,90
sans_emploi,,0,,,69
employe,25.0,2986667,services,freelance,90
etudiant,2.0,425823,education,stage,79
independant,5.0,2289662,commerce,stage,74
employe,5.0,2422026,autres,cdi,90
etudiant,3.0,325352,education,stage,70
independant,13.0,3327323,sante,cdd,90
retraite,21.0,636764,sante,freelance,90
etudiant,4.0,414209,education,stage,54
sans_emploi,,0,,,73
sans_emploi,,0,,,77
etudiant,5.0,400176,education,stage,59
sans_emploi,,0,,,80
retraite,32.0,849734,education,freelance,83
employe,24.0,1058896,informatique,stage,90
etudiant,0.0,314748,education,stage,66
employe,35.0,1236515,autres,stage,90
independant,13.0,3900039,education,freelance,90
independant,24.0,1822153,agriculture,cdd,88
etudiant,2.0,430171,education,stage,67
retraite,37.0,668099,education,freelance,83
sans_emploi,,0,,,75
independant,7.0,2508299,sante,freelance,90
etudiant,4.0,234172,education,stage,82
employe,37.0,3319348,sante,cdd,90
sans_emploi,,0,,,62
etudiant,0.0,273799,education,stage,70
employe,6.0,3076482,commerce,freelance,90
employe,21.0,3313551,sante,freelance,90
employe,14.0,1758361,industrie,temporaire,90
retraite,34.0,652738,sante,freelance,90
employe,9.0,1849997,services,freelance,90
independant,27.0,3998186,commerce,freelance,90
retraite,29.0,788797,education,freelance,90
employe,33.0,1256046,agriculture,cdi,90
etudiant,2.0,244903,education,stage,65
independant,37.0,1030317,industrie,stage,82
independant,2.0,1461308,education,temporaire,90
independant,26.0,2904889,autres,cdi,90
independant,6.0,3567597,informatique,freelance,90
sans_emploi,,0,,,62
retraite,25.0,906427,sante,freelance,90
employe,39.0,3732476,informatique,stage,90
employe,30.0,3455333,informatique,stage,90
independant,22.0,2588200,services,temporaire,86
employe,4.0,3326718,industrie,cdd,89
sans_emploi,,0,,,65
employe,14.0,2662680,informatique,freelance,90
sans_emploi,,0,,,65
etudiant,3.0,237541,education,stage,59
independant,20.0,2172911,sante,temporaire,90
retraite,30.0,483617,sante,freelance,90
employe,18.0,3903110,services,cdd,90
employe,24.0,2811139,autres,cdd,90
independant,8.0,1910542,autres,temporaire,90
sans_emploi,,0,,,56
independant,21.0,1868562,autres,temporaire,74
employe,35.0,3894618,education,freelance,90
employe,34.0,1030611,commerce,cdd,90
etudiant,3.0,306716,education,stage,53
retraite,23.0,795779,education,freelance,90
sans_emploi,,0,,,59
etudiant,1.0,364855,education,stage,76
sans_emploi,,0,,,68
employe,40.0,3625307,industrie,temporaire,90
employe,25.0,3684596,autres,cdd,90
retraite,40.0,420013,sante,freelance,79
retraite,40.0,608050,sante,freelance,77
independant,12.0,1252586,commerce,stage,90
retraite,21.0,455907,sante,freelance,84
etudiant,3.0,319589,education,stage,66
sans_emploi,,0,,,67
retraite,28.0,677988,education,freelance,84
independant,15.0,2894579,autres,cdd,88
employe,21.0,3981523,autres,temporaire,90
retraite,22.0,569892,sante,freelance,90
sans_emploi,,0,,,59
retraite,35.0,429561,education,freelance,70
sans_emploi,,0,,,83
sans_emploi,,0,,,90
etudiant,1.0,229633,education,stage,64
etudiant,4.0,484653,education,stage,62
independant,17.0,2250294,education,temporaire,83
employe,16.0,2672437,industrie,cdd,90
employe,39.0,1250754,commerce,freelance,90
sans_emploi,,0,,,90
employe,39.0,1606164,services,stage,90
employe,0.0,1804200,services,stage,90
independant,14.0,1654615,informatique,temporaire,90
employe,33.0,3318240,agriculture,stage,90
sans_emploi,,0,,,67
sans_emploi,,0,,,48
etudiant,1.0,201098,education,stage,90
employe,6.0,1447893,services,stage,90
retraite,30.0,835047,education,freelance,90
employe,32.0,2862050,agriculture,freelance,90
retraite,23.0,536157,sante,freelance,90
independant,9.0,2349594,industrie,freelance,90
etudiant,3.0,232287,education,stage,69
independant,4.0,3923316,autres,cdi,90
etudiant,2.0,220632,education,stage,72
independant,34.0,1357956,commerce,freelance,90
employe,20.0,3381424,sante,freelance,90
employe,38.0,2875659,agriculture,cdd,90
sans_emploi,,0,,,54
retraite,27.0,612883,education,freelance,90
employe,5.0,1681470,sante,freelance,90
employe,14.0,3086010,commerce,temporaire,90
retraite,36.0,916314,education,freelance,90
retraite,37.0,829666,education,freelance,79
etudiant,2.0,322737,education,stage,71
sans_emploi,,0,,,80
independant,27.0,3729025,sante,temporaire,82
etudiant,0.0,395851,education,stage,90
independant,10.0,3140797,commerce,cdi,90
retraite,36.0,772442,education,freelance,90
sans_emploi,,0,,,78
etudiant,4.0,372811,education,stage,69
employe,18.0,1417233,autres,freelance,90
etudiant,1.0,236357,education,stage,90
employe,30.0,2565905,commerce,cdd,90
employe,24.0,1308313,informatique,cdi,90
independant,12.0,1861923,sante,cdd,90
retraite,37.0,723519,education,freelance,90
employe,15.0,3121396,informatique,cdi,90
retraite,36.0,938680,education,freelance,86
retraite,31.0,951520,education,freelance,90
retraite,36.0,449243,sante,freelance,87
independant,32.0,1847320,industrie,temporaire,82
sans_emploi,,0,,,65
employe,39.0,3537636,education,stage,90
employe,31.0,3405071,agriculture,freelance,90
employe,4.0,3752908,industrie,temporaire,90
sans_emploi,,0,,,67
retraite,22.0,797942,sante,freelance,90
employe,23.0,3914196,agriculture,temporaire,90
independant,2.0,3393950,sante,freelance,89
employe,40.0,1581361,commerce,temporaire,90
etudiant,1.0,488080,education,stage,73
sans_emploi,,0,,,73
independant,32.0,3950660,services,cdi,90
retraite,34.0,967652,sante,freelance,81
etudiant,1.0,322272,education,stage,67
etudiant,3.0,271859,education,stage,68
independant,21.0,2508213,agriculture,freelance,90
retraite,24.0,818122,education,freelance,90
independant,5.0,2393913,autres,cdd,90
retraite,40.0,580470,education,freelance,90
sans_emploi,,0,,,62
independant,17.0,2237129,education,cdi,90
independant,13.0,3250703,agriculture,freelance,90
independant,23.0,1346336,informatique,temporaire,90
employe,2.0,2068546,informatique,freelance,90
etudiant,1.0,314559,education,stage,65
independant,32.0,2985446,autres,stage,90
retraite,30.0,790530,sante,freelance,90
etudiant,5.0,265532,education,stage,68
retraite,37.0,674226,sante,freelance,72
etudiant,4.0,266355,education,stage,85
etudiant,3.0,444000,education,stage,69
independant,33.0,3430253,sante,cdd,90
sans_emploi,,0,,,85
retraite,36.0,587857,education,freelance,90
etudiant,5.0,315619,education,stage,71
employe,16.0,1344836,industrie,temporaire,90
employe,10.0,1638840,services,stage,90
sans_emploi,,0,,,89
sans_emploi,,0,,,65
sans_emploi,,0,,,68
sans_emploi,,0,,,75
independant,25.0,3300111,services,cdd,90
etudiant,2.0,221125,education,stage,62
retraite,36.0,635961,education,freelance,74
sans_emploi,,0,,,82
retraite,33.0,563400,education,freelance,90
